Meet_link,Occurred_At,Event_Code,Reason,Participant_Email_Id,
https://meet.google.com,10-12-2020  10:02:35,joined,,naira@gmail.com,naira joined
https://meet.google.com,10-12-2020  10:19:45,joined,,ayesha@gmail.com,
https://meet.google.com,10-12-2020  10:23:37,raised_han,Doubt_arised,preesha@gmail.com,
https://meet.google.com,10-12-2020  10:34:38,left,Network_Issue,naira@gmail.com,naira left
https://meet.google.com,10-12-2020  10:39:39,joined,,myna@gmail.com,
https://meet.google.com,10-12-2020  11:02:35,joined,,naira@gmail.com,naira joined
https://meet.google.com,10-12-2020  11:07:40,joined,,pani@gmail.com,
https://meet.google.com,10-12-2020  11:07:41,joined,,supriya@gmail.com,
https://meet.google.com,10-12-2020  11:11:42,left,Conf_over,ayesha@gmail.com,
https://meet.google.com,10-12-2020  11:15:02,joined,,chaitra@gmail.com,
https://meet.google.com,10-12-2020  11:50:44,left,Conf_over,myna@gmail.com,
https://meet.google.com,10-12-2020  12:45:38,left,Network_Issue,naira@gmail.com,naira left
https://meet.google.com,10-12-2020  12:58:42,left,Conf_over,pani@gmail.com,
https://meet.google.com,10-12-2020  13:02:35,joined,,naira@gmail.com,naira joined
https://meet.google.com,10-12-2020  13:39:39,joined,,myna@gmail.com,
https://meet.google.com,10-12-2020  14:19:45,joined,,ayesha@gmail.com,
https://meet.google.com,10-12-2020  14:58:42,joined,,pani@gmail.com,
https://meet.google.com,10-12-2020  15:02:35,left,,naira@gmail.com,naira left
https://meet.google.com,10-12-2020  15:09:39,left,,myna@gmail.com,
https://meet.google.com,10-12-2020  15:19:45,left,Network_Issue,ayesha@gmail.com,
https://meet.google.com,10-12-2020  15:58:42,left,Conf_over,pani@gmail.com,
https://meet.google.com,10-12-2020  16:19:45,joined,,ayesha@gmail.com,
https://meet.google.com,10-12-2020  16:29:39,joined,,myna@gmail.com,
https://meet.google.com,10-12-2020  16:49:45,left,Network_Issue,ayesha@gmail.com,
https://meet.google.com,10-12-2020  16:52:35,joined,,naira@gmail.com,naira joined
https://meet.google.com,10-12-2020  16:55:39,left,Network_Issue,myna@gmail.com,
https://meet.google.com,10-12-2020  17:02:35,joined,,naira@gmail.com,naira left
https://meet.google.com,10-12-2020  17:09:39,joined,,myna@gmail.com,
https://meet.google.com,10-12-2020  17:12:35,joined,,naira@gmail.com,naira joined
https://meet.google.com,10-12-2020  17:19:39,left,Network_Issue,myna@gmail.com,
https://meet.google.com,10-12-2020  17:22:35,left,,naira@gmail.com,naira left
